🔍 Scanning for power monitoring interfaces...
   🌡️  Found thermal zone: thermal_zone0
   💻 Added CPU monitoring
📊 Logging system power data to /home/pi/system_power_log.csv
🖥️  Monitoring CPU, memory, temperature, and available power metrics
⚠️  Watching for high CPU, temperature, and system load issues
Press Ctrl+C to stop logging
✅ 2025-07-21T17:38:19.458719: CPU 1%, Temp 46.9°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:38:24.459607: CPU 1%, Temp 47.4°C, Load 1.0, V:N/A, P:N/A
✅ 2025-07-21T17:38:29.460467: CPU 1%, Temp 48.0°C, Load 1.0, V:N/A, P:N/A
✅ 2025-07-21T17:38:34.461361: CPU 1%, Temp 47.4°C, Load 1.0, V:N/A, P:N/A
✅ 2025-07-21T17:38:39.463240: CPU 1%, Temp 47.4°C, Load 1.0, V:N/A, P:N/A
✅ 2025-07-21T17:38:44.468850: CPU 1%, Temp 46.9°C, Load 1.0, V:N/A, P:N/A
✅ 2025-07-21T17:38:49.469717: CPU 1%, Temp 45.8°C, Load 1.0, V:N/A, P:N/A
✅ 2025-07-21T17:38:54.470646: CPU 1%, Temp 45.8°C, Load 1.0, V:N/A, P:N/A
✅ 2025-07-21T17:38:59.471519: CPU 1%, Temp 46.9°C, Load 1.0, V:N/A, P:N/A
✅ 2025-07-21T17:39:04.472403: CPU 1%, Temp 47.4°C, Load 1.0, V:N/A, P:N/A
✅ 2025-07-21T17:39:09.473270: CPU 1%, Temp 47.4°C, Load 1.0, V:N/A, P:N/A
✅ 2025-07-21T17:39:14.474179: CPU 1%, Temp 46.9°C, Load 1.0, V:N/A, P:N/A
✅ 2025-07-21T17:39:19.475043: CPU 1%, Temp 47.4°C, Load 1.0, V:N/A, P:N/A
✅ 2025-07-21T17:39:24.475931: CPU 1%, Temp 48.5°C, Load 1.0, V:N/A, P:N/A
✅ 2025-07-21T17:39:29.476780: CPU 1%, Temp 46.9°C, Load 1.0, V:N/A, P:N/A
✅ 2025-07-21T17:39:34.477669: CPU 1%, Temp 46.9°C, Load 1.0, V:N/A, P:N/A
✅ 2025-07-21T17:39:39.478566: CPU 1%, Temp 48.0°C, Load 1.0, V:N/A, P:N/A
✅ 2025-07-21T17:39:44.481441: CPU 1%, Temp 46.3°C, Load 1.0, V:N/A, P:N/A
✅ 2025-07-21T17:39:49.483624: CPU 3%, Temp 47.4°C, Load 1.0, V:N/A, P:N/A
